feature,coefficient,abs_coefficient
num__Fatalities,121.68290192309341,121.68290192309341
num__Injuries,41.949892843897764,41.949892843897764
cat__Region_South Asia,37.21768246891406,37.21768246891406
cat__Region_East Asia,-32.67969784934545,32.67969784934545
cat__Region_South America,25.198651572698108,25.198651572698108
cat__Region_Southeast Asia,20.37631908522697,20.37631908522697
cat__Region_Western Europe,19.90505011434287,19.90505011434287
cat__Region_Sub-Saharan Africa,-19.892530171714704,19.892530171714704
num__Population,13.462348529212179,13.462348529212179
cat__Region_Central America & Caribbean,12.15122457719818,12.15122457719818
cat__Region_Central Asia,-9.510955003243096,9.510955003243096
num__Conflict_Level,9.198288966312306,9.198288966312306
cat__Region_North America,-6.777966304205242,6.777966304205242
cat__Region_Middle East & North Africa,5.780943257843867,5.780943257843867
num__Year,4.234133640036237,4.234133640036237
cat__Region_Eastern Europe,3.399267154368184,3.399267154368184
num__GDP_per_capita,-1.0010288525592836,1.0010288525592836
num__Conflict,-0.5727906170579397,0.5727906170579397
