Region,n_rows,mean_attacks,median_attacks,mean_conflict_level,share_conflict
South Asia,219,205.23287671232876,46.0,4.420091324200913,0.6666666666666666
Middle East & North Africa,512,94.203125,9.0,2.21875,0.435546875
Southeast Asia,220,56.67272727272727,10.0,1.7818181818181817,0.39090909090909093
South America,348,54.247126436781606,6.0,1.2442528735632183,0.27873563218390807
Central America & Caribbean,238,43.08403361344538,4.0,0.47478991596638653,0.13445378151260504
North America,120,28.8,9.5,1.3583333333333334,0.275
Western Europe,578,27.847750865051903,6.0,0.1453287197231834,0.07785467128027682
Eastern Europe,184,23.266304347826086,2.0,0.2826086956521739,0.043478260869565216
Sub-Saharan Africa,622,19.20096463022508,4.0,2.6993569131832795,0.5176848874598071
East Asia,109,7.055045871559633,3.0,0.22935779816513763,0.07339449541284404
Central Asia,106,5.311320754716981,2.0,1.5566037735849056,0.4528301886792453
Australasia & Oceania,42,3.1904761904761907,2.0,0.0,0.0
