model,accuracy,precision_high_risk,recall_high_risk,f1_high_risk,roc_auc,level,risk_threshold_train_q75,threshold_tuned
region_baseline_majority,0.6547619047619048,0.0,0.0,0.0,0.5,region,573.75,
region_logistic_regression,0.9642857142857143,0.9333333333333333,0.9655172413793104,0.9491525423728814,0.9836990595611286,region,573.75,
region_decision_tree,0.8452380952380952,0.7666666666666667,0.7931034482758621,0.7796610169491526,0.9473354231974922,region,573.75,
region_random_forest,0.9523809523809523,0.9032258064516129,0.9655172413793104,0.9333333333333333,0.9855799373040752,region,573.75,
region_random_forest_f1_threshold,0.9642857142857143,0.9333333333333333,0.9655172413793104,0.9491525423728814,,region,573.75,0.5649027781605013
region_random_forest_calibrated,0.9404761904761905,0.875,0.9655172413793104,0.9180327868852459,0.9836990595611286,region,573.75,
country_baseline_majority,0.7010452961672474,0.0,0.0,0.0,0.5,country,8.0,
country_logistic_regression,0.9094076655052264,0.8863049095607235,0.7995337995337995,0.8406862745098039,0.9610240653978228,country,8.0,
country_decision_tree,0.8717770034843205,0.7611940298507462,0.8321678321678322,0.7951002227171492,0.8725444535583701,country,8.0,
country_random_forest,0.929616724738676,0.916243654822335,0.8414918414918415,0.8772782503037667,0.9703063669266452,country,8.0,
country_random_forest_f1_threshold,0.9163763066202091,0.9279778393351801,0.7808857808857809,0.8481012658227848,,country,8.0,0.5979978583228642
country_random_forest_calibrated,0.9212543554006969,0.9224598930481284,0.8041958041958042,0.8592777085927771,0.9682035989193046,country,8.0,
