Country,anchor_year,forecast_year_plus1,pred_rf_plus1,forecast_year_plus5,pred_rf_plus5,forecast_year_plus10,pred_rf_plus10
Afghanistan,2017,2018,64.65621321788437,2022,106.37870723893894,2027,168.13793977913497
Albania,2017,2018,0.7916310457648204,2022,0.6242823137654574,2027,0.7289259851000609
Algeria,2017,2018,12.925224671583235,2022,16.325975869890705,2027,33.07994172700517
Andorra,2017,2018,0.04776707757675111,2022,0.058591636058066,2027,0.1056327788026295
Angola,2017,2018,1.644424206848861,2022,1.662633769314751,2027,5.412034770036292
Antigua and Barbuda,2017,2018,0.05663366453684384,2022,0.048885072832258215,2027,0.08034015824235835
Argentina,2017,2018,0.9803373677900682,2022,1.2699874304589867,2027,3.2581701536637873
Armenia,2017,2018,1.226053646574139,2022,1.006453049591538,2027,1.1031055559964131
Australia,2017,2018,4.992839737557344,2022,6.8978245002804695,2027,11.064975380034769
Austria,2017,2018,0.5582058880112695,2022,0.5799428094663752,2027,1.054233140067077
Azerbaijan,2017,2018,1.5334338795305018,2022,1.410299447245634,2027,2.071090742885913
Bahamas,2017,2018,0.06364130538052504,2022,0.08097894917761801,2027,0.11633132165383267
Bahrain,2017,2018,3.500280066271352,2022,4.036638025550469,2027,4.984288362057401
Bangladesh,2017,2018,48.717368992666024,2022,96.57984941467096,2027,286.0144896904791
Barbados,2017,2018,0.06857651597905817,2022,0.07005685768253754,2027,0.1428592708521641
Belarus,2017,2018,0.18444846012202887,2022,0.36476316774774925,2027,0.5230887691488002
Belgium,2017,2018,1.9745741635720173,2022,1.6090690979549924,2027,2.671159950912808
Belize,2017,2018,0.07554923371846525,2022,0.10334087217330017,2027,0.13295795720543632
Benin,2017,2018,0.20476151487720431,2022,0.3499645955028931,2027,0.7192120881986983
Bhutan,2017,2018,0.1365401462245118,2022,0.2255608544063698,2027,0.37606687691349416
Bolivia,2017,2018,0.3670009209525002,2022,0.889085963791979,2027,2.87270131322189
Bosnia-Herzegovina,2017,2018,1.1776321416213458,2022,0.4202186378896247,2027,0.8251906723185203
Botswana,2017,2018,0.10425106578681555,2022,0.15524274604755617,2027,0.2248836110675998
Brazil,2017,2018,2.7927321449706484,2022,2.388730675632032,2027,4.668538289415013
Brunei,2017,2018,0.06708889130749063,2022,0.07072082710622232,2027,0.10311779240934084
Bulgaria,2017,2018,0.4718658151099341,2022,0.6177343986365718,2027,0.9536443035353592
Burkina Faso,2017,2018,3.018276529937185,2022,4.397636644961496,2027,11.230326006082695
Burundi,2017,2018,17.013553306597444,2022,10.997339321691788,2027,11.516343158326107
Cambodia,2017,2018,0.27122914786475705,2022,0.41943065234261595,2027,1.1043178881366895
