Region,Baseline_Risk_Score,Budget_Allocation_pct,Effectiveness_pct,Harm_After,Harm_Reduction_pct
Central America & Caribbean,99.40927419354838,13.498623143691804,70.0,29.82278225806452,70.0
South Asia,237.36684782608697,13.498622589524599,69.99999999998165,71.21005434786963,69.99999999998165
Southeast Asia,62.68617021276596,13.49862059705168,69.99999483378382,18.805854302332857,69.99999483378382
South America,98.33900928792569,13.498620184033367,69.99999376288625,29.50170891989358,69.99999376288625
Middle East & North Africa,98.65934065934066,13.49861874951792,69.99999004339219,29.597812020925815,69.99999004339219
North America,53.66,12.670572119535267,67.81900677089942,17.268320966735367,67.81900677089942
Sub-Saharan Africa,38.14950166112957,6.40584602590177,48.221593787455255,19.753203938161175,48.221593787455255
Western Europe,35.13840155945419,5.430476590743593,44.39890767169756,19.537335093761786,44.39890767169756
East Asia,10.098958333333334,2.0000000000000004,26.944387170614963,7.377855899800917,26.944387170614963
Central Asia,12.454545454545455,2.0000000000000004,26.944387170614963,9.098744506932501,26.944387170614963
Australasia & Oceania,4.636363636363637,2.0000000000000004,26.944387170614963,3.387123867544216,26.944387170614963
Eastern Europe,20.07520325203252,2.0,26.94438717061496,14.666062762516992,26.94438717061496
